Importers,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,15504399,13755565,10655796,14358510,17099588,16768275,0,14823232,17378757,16874662
Switzerland,1154061,1356234,1868672,1660098,1631724,2465917,0,2412532,3152145,3079228
South Africa,2490182,594009,350763,910266,1742478,1971004,0,1970587,1802346,1973762
United Arab Emirates,1129391,351887,1427347,800769,590730,899160,0,117478,366633,1713457
China,830204,1112868,941810,2381361,2032273,2808597,0,1385661,2201390,1376605
India,812293,2351606,1557741,2689424,3670384,2380131,0,1335889,1687549,1178475
Canada,3943,28630,33526,287371,121216,266292,0,851772,1829275,855488
United States of America,308938,317720,196985,407970,613839,704282,0,715985,682010,787791
Netherlands,916514,1101843,443039,884609,1228616,966314,0,725850,812548,664143
Italy,748479,673875,188723,180347,304242,308765,0,227680,558412,621431
Brazil,87748,34229,200974,193883,150840,17237,0,40167,10407,523248
Burkina Faso,558394,327321,427310,490657,272769,277694,0,352405,550908,441162
TÅrkiye,130020,119135,100210,100555,76012,94105,0,124292,119677,337721
United Kingdom,517259,314859,95176,329470,491544,415118,0,179140,446445,303598
Malaysia,354265,257054,215021,454298,1109464,267553,0,423566,281968,268726
Belgium,229136,360180,99511,155800,162183,203281,0,204945,276640,263904
Cìte d'Ivoire,86377,58578,33403,50801,55640,52681,0,296205,289731,251893
Spain,580129,152663,149081,213181,584464,171677,0,311475,260303,218270
Togo,119500,185422,289492,194451,139402,159948,0,397847,190269,217506
Portugal,158906,388366,60891,58718,82950,68777,0,5139,9682,216462
Mali,76282,390205,299600,45171,56244,44271,0,155674,189676,165361
France,998990,794277,139589,261795,358015,377025,0,159552,206987,162459
Germany,230296,147559,147507,233066,213501,213318,0,235416,195211,153608
Japan,108856,130050,150871,123107,166269,303097,0,129191,117290,115765
Nigeria,187693,175321,51866,63219,80962,164055,0,61582,86805,104378
Viet Nam,66169,199481,549265,223706,197712,102781,0,122060,85338,89067
Gibraltar,0,0,0,0,0,0,0,,0,82299
Estonia,93378,99159,71302,131051,103078,103068,0,84722,82560,67824
Niger,63816,89428,61925,104315,58207,43355,0,81234,98809,61523
Benin,209547,130730,34122,27231,33752,40366,0,364733,53130,57493
Area Nes,1032,4610,68,434,348,1864,0,34360,75926,51891
Senegal,18906,28041,130797,75626,45101,82624,0,129757,85132,46860
Poland,26585,32073,2008,16843,37513,47626,0,44224,56108,38998
Guinea,7944,9271,5726,17547,6433,6402,0,13834,28479,33217
Republic of Korea,25883,19192,15848,19210,18010,23438,0,15875,15320,32275
China Hong Kong,37919,46693,3743,107240,105698,216167,0,41058,40121,26016
Liberia,92490,7393,8062,7593,15296,7275,0,6489,13210,25370
Sierra Leone,41719,5521,3472,2859,4660,60065,0,11958,23098,23073
Cameroon,10114,5363,2972,4126,5234,2662,0,7065,12307,22965
Angola,54470,1967,193,179,368,165,0,1246,4285,18696
Greece,1625,8544,338,2651,4507,3986,0,7486,13309,15184
Singapore,52727,45294,47198,27459,81497,31256,0,182753,13273,11572
Russian Federation,5864,2083,123,4734,9038,7564,0,9425,129513,10979
Australia,23813,6616,1711,56725,2966,3446,0,251777,6370,10857
New Zealand,4386,798891,3110,6327,6662,8296,0,10166,9584,10641
Egypt,17980,14289,791,11097,10577,20305,0,18124,10817,10390
Indonesia,26723,11993,4813,10356,25806,41425,0,51151,16867,9196
