Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All products,15504399,13755565,10655796,14358510,17099588,16768275,0,14823232,17378757,16874662
Live animals,87,112,47,50,2143,29,0,174,1886,2565
Meat and edible meat offal,0,3,12,200,113,432,0,966,1,0
Fish and crustaceans molluscs and other aquatic invertebrates,448537,35765,11730,67232,69768,53194,0,30205,67817,57776
Dairy produce birds' eggs natural honey edible products of animal origin not elsewhere  ,18642,14922,5422,10150,8660,11288,0,14015,18575,15558
Products of animal origin not elsewhere specified or included,18,13,11,8,20,83,0,14164,43,145
Live trees and other plants bulbs roots and the like cut flowers and ornamental foliage,4808,2013,104,2388,2485,3475,0,2656,2885,7922
Edible vegetables and certain roots and tubers,23648,22947,16154,10195,11918,15951,0,9035,9344,15050
Edible fruit and nuts peel of citrus fruit or melons,202075,503721,992358,409416,595252,367242,0,576487,461736,387286
Coffee tea maté and spices,1368,2229,2429,2817,2955,1307,0,2612,1487,1048
Cereals,4003,639,554,469,382,111,0,503,1072,3415
Products of the milling industry malt starches inulin wheat gluten,23838,22133,26341,32211,42267,42962,0,33714,18253,15084
Oil seeds and oleaginous fruits miscellaneous grains seeds and fruit industrial or medicinal  ,65561,52831,48353,16271,26930,47796,0,51536,284948,75734
Lac gums resins and other vegetable saps and extracts,993,119,188,85,2,31,0,28,326,366
Vegetable plaiting materials vegetable products not elsewhere specified or included,675,565,4,417,12,10,0,909,308,142
Animal vegetable or microbial fats and oils and their cleavage products prepared edible fats,251495,201743,115283,187968,178168,192165,0,280443,254998,191307
Preparations of meat of fish of crustaceans molluscs or other aquatic invertebrates or  ,142957,196047,225,141606,155773,146384,0,153260,141821,143299
Sugars and sugar confectionery,176,140,942,163,196,52,0,6126,4173,2501
Cocoa and cocoa preparations,2812875,3523723,1898465,2433742,3249917,2714504,0,2385215,2165686,1898300
Preparations of cereals flour starch or milk pastrycooks' products,60177,22648,20339,21501,21268,27616,0,42843,53424,55527
Preparations of vegetables fruit nuts or other parts of plants,22062,21126,15575,27170,21853,15251,0,17902,20080,35323
Miscellaneous edible preparations,12788,78188,12012,11737,13740,15207,0,30243,31714,49405
Beverages spirits and vinegar,60479,53079,18769,40912,40525,26918,0,88778,88742,71318
Residues and waste from the food industries prepared animal fodder,32014,50273,5297,10654,12235,11668,0,18665,10623,12080
Tobacco and manufactured tobacco substitutes products whether or not containing nicotine,129,17,50,2822,5916,1237,0,202,250,2
Salt sulphur earths and stone plastering materials lime and cement,54571,59297,23989,92028,24158,29972,0,23483,49759,27515
Ores slag and ash,145755,117446,143265,186086,346483,394815,0,250640,42069,395289
Mineral fuels mineral oils and products of their distillation bituminous substances mineral  ,4611352,2985230,1383372,3639252,5233434,5315923,0,3883806,5285841,4049084
Inorganic chemicals organic or inorganic compounds of precious metals of rare-earth metals,17261,14875,203964,7959,3727,123132,0,25658,24359,44509
Organic chemicals,84855,3141,302,749,946,924,0,1195,1911,3647
Pharmaceutical products,4081,3098,78329,2152,3656,8322,0,13961,20400,14174
Fertilisers,19791,6762,2021,1782,2866,3259,0,30794,74927,47400
Tanning or dyeing extracts tannins and their derivatives dyes pigments and other colouring  ,8580,27656,5110,20183,26342,27680,0,40417,37157,43779
Essential oils and resinoids perfumery cosmetic or toilet preparations,15524,69599,41206,54019,10521,9231,0,12679,16117,14906
Soap organic surface-active agents washing preparations lubricating preparations artificial  ,3930,3012,5351,9214,11529,15209,0,29077,42540,56845
Albuminoidal substances modified starches glues enzymes,1680,3179,715,7009,1790,8021,0,2113,1205,1494
Explosives pyrotechnic products matches pyrophoric alloys certain combustible preparations,6971,7441,5706,5839,3950,5291,0,2464,5162,2419
Photographic or cinematographic goods,2573,2695,3829,2025,1175,3003,0,470,2622,1983
Miscellaneous chemical products,17128,14831,21404,46538,8989,5935,0,33489,31810,41051
Plastics and articles thereof,192270,255577,308528,370320,204500,224401,0,250892,187580,188772
Rubber and articles thereof,151359,50618,46306,77674,59660,67084,0,140456,130354,123662
Raw hides and skins (other than furskins) and leather,8,144,1428,47,213,573,0,424,411,252
Articles of leather saddlery and harness travel goods handbags and similar containers articles  ,2210,573,322,898,1794,1157,0,161,630,392
Furskins and artificial fur manufactures thereof,1,0,0,0,7,0,0,0,94,67
Wood and articles of wood wood charcoal,329421,274914,482193,189033,181387,125372,0,107377,122853,84012
Cork and articles of cork,1,0,2,2,56,0,0,1,0,0
Manufactures of straw of esparto or of other plaiting materials basketware and wickerwork,1193,1147,1103,1264,1358,1616,0,3080,2639,2141
Pulp of wood or of other fibrous cellulosic material recovered (waste and scrap) paper or  ,4568,695,160,219,135,25,0,176,122,49
Paper and paperboard articles of paper pulp of paper or of paperboard,23855,7829,8220,11023,31880,60451,0,398092,30298,27437
Printed books newspapers pictures and other products of the printing industry manuscripts,90693,11107,882,7346,768,1303,0,2228,1513,1102
Silk,15,247,33,1,11,4,0,26,1,6
Wool fine or coarse animal hair horsehair yarn and woven fabric,0,3,3,3,16,9,0,2,3,2
Cotton,18001,15377,10211,7323,7208,7210,0,4500,3020,934
Other vegetable textile fibres paper yarn and woven fabrics of paper yarn,1,19,14,53,24,46,0,3,221,185
Man-made filaments strip and the like of man-made textile materials,1607,479,109,623,306,171,0,456,259,293
Man-made staple fibres,42,2897,76,258,130,83,0,559,749,2390
Wadding felt and nonwovens special yarns twine cordage ropes and cables and articles thereof,28688,512,1036,74962,43,60,0,3506,496,146
Carpets and other textile floor coverings,198,1493,64,113,110,207,0,419,330,135
Special woven fabrics tufted textile fabrics lace tapestries trimmings embroidery,50,54,79,50,60,27,0,124,140,35
Impregnated coated covered or laminated textile fabrics textile articles of a kind suitable  ,9,41,10,25,2,67,0,11,83,27
Knitted or crocheted fabrics,1,5,38,1,230,6,0,68,1138,109
Articles of apparel and clothing accessories knitted or crocheted,2967,7388,119,9060,15937,17342,0,20377,42909,36137
Articles of apparel and clothing accessories not knitted or crocheted,16905,3620,198,1293,6732,400,0,3909,1599,1199
Other made-up textile articles sets worn clothing and worn textile articles rags,15252,9649,11650,4731,9133,27961,0,3566,9505,3768
Footwear gaiters and the like parts of such articles,117106,5832,528,524,1473,105574,0,595,472,409
Headgear and parts thereof,28,13,53,8,57,31,0,432,24,79
Umbrellas sun umbrellas walking sticks seat-sticks whips riding-crops and parts thereof,61,1,0,2,12,5,0,2,16,12
Prepared feathers and down and articles made of feathers or of down artificial flowers articles  ,1311,2831,2101,3484,2482,1261,0,2345,1668,1252
Articles of stone plaster cement asbestos mica or similar materials,2781,202,177,1933,325,411,0,1290,992,9229
Ceramic products,3254,246,484,6416,10984,19227,0,68132,75228,91088
Glass and glassware,4740,3577,3325,1240,1271,941,0,8812,1876,1578
Natural or cultured pearls precious or semi-precious stones precious metals metals clad  ,4743823,4376715,4431941,5861489,6094804,6199720,0,5125438,6550143,7673147
Iron and steel,44800,32309,31510,41009,35011,51884,0,208188,334962,289142
Articles of iron or steel,32932,26496,18729,19220,13787,24144,0,63193,98619,89568
Copper and articles thereof,7414,3235,2960,3537,3305,10830,0,30616,42762,48870
Nickel and articles thereof,4,1,0,1,0,0,0,0,16,1
Aluminium and articles thereof,79148,69692,59799,77660,111245,89604,0,104408,183226,129283
Lead and articles thereof,13399,11337,4292,12171,21009,16073,0,36639,44151,47031
Zinc and articles thereof,30,8,0,14,64,56,0,634,234,371
Tin and articles thereof,7,72,0,209,0,0,0,0,0,0
Other base metals cermets articles thereof,96,35,1,13,14,8,0,29,21,49
Tools implements cutlery spoons and forks of base metal parts thereof of base metal,10872,9288,3976,3838,3409,4207,0,6921,4798,3870
Miscellaneous articles of base metal,932,269,140,376,243,285,0,1489,4430,1828
Nuclear reactors boilers machinery and mechanical appliances parts thereof,193619,103180,74241,29244,19675,30580,0,44672,76411,79236
Electrical machinery and equipment and parts thereof sound recorders and reproducers television  ,26708,76164,12027,6484,95523,8446,0,11294,13153,13323
Railway or tramway locomotives rolling stock and parts thereof railway or tramway track fixtures  ,2008,7191,1450,403,210,107,0,2893,8232,808
Vehicles other than railway or tramway rolling stock and parts and accessories thereof,21573,206809,7942,3323,3571,4903,0,15851,36027,54383
Aircraft spacecraft and parts thereof,2387,1155,60,86,299,304,0,266,984,677
Ships boats and floating structures,1525,202,592,295,52,9,0,19,1699,16
Optical photographic cinematographic measuring checking precision medical or surgical  ,23050,27878,9370,1216,3008,4884,0,15406,8328,3519
Clocks and watches and parts thereof,86,21,21,3,46,7,0,4,11,13
Musical instruments parts and accessories of such articles,312,246,212,157,195,157,0,171,229,327
Arms and ammunition parts and accessories thereof,395,9953,455,3,4,4,0,16,3520,2397
Furniture bedding mattresses mattress supports cushions and similar stuffed furnishings,63465,8693,1627,21295,12175,4802,0,10968,17696,9712
