Exporters,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
World,16786417,14687477,11361004,12718142,11880471,10439795,,17848192,17962660,16394368
China,2252088,2478709,1964590,2134176,2272600,1895911,,3676654,3187391,3072822
Netherlands,410974,219401,268492,236995,259589,231508,,475623,1350766,1574255
India,996118,852163,527622,633289,673818,582202,,1034349,959329,1057159
Russian Federation,79061,72135,69250,135108,177858,142319,,280917,141725,1051877
United States of America,1240362,1196962,881810,1200058,953710,976222,,1150144,1072964,993408
Belgium,708769,750973,577366,718810,691150,532885,,792074,621020,759986
United Arab Emirates,682565,274664,288771,307515,303176,275843,,492885,407831,620866
United Kingdom,672077,795924,1106717,1099103,604136,685551,,1318727,2409708,504752
Switzerland,26682,25732,48227,46441,66933,68136,,766424,699963,365886
South Africa,442661,437785,332993,410864,406244,357611,,403291,457587,311199
Norway,36567,39567,44397,28638,21102,49315,,137593,67578,289279
Canada,512615,691672,236689,363512,332964,266483,,425627,358898,287890
Viet Nam,307335,407670,219281,291962,342561,316540,,393604,330928,278620
France,739763,228469,382155,192901,282553,158303,,284702,271958,270573
Saudi Arabia,92211,82310,51724,81373,113494,90053,,210004,189763,265328
Brazil,424777,199325,273431,217791,158040,138736,,321175,257858,248678
Egypt,72161,75492,63996,63380,90673,47272,,177408,274443,240399
Spain,187396,263122,167091,754552,199244,139087,,313424,279209,237541
Republic of Korea,282794,264002,278239,307171,302839,254512,,363175,273989,233802
Germany,454856,322259,440715,341512,305788,246302,,440652,296048,233754
Turkiye,443318,403040,287915,325148,332246,466793,,520876,342238,217623
Burkina Faso,9117,13946,12230,14389,50726,115593,,85023,148911,208816
Italy,325854,258412,205352,289774,302045,226832,,210062,197327,173901
Togo,170994,152865,85924,87369,60955,67165,,99938,174404,171198
Bahrain,385,266,281,283,888,439,,1891,2730,168634
Co te d'Ivoire,139699,98555,65993,102017,119226,93179,,134944,167774,143399
Japan,202374,168784,152628,200586,202909,186443,,244946,142773,140115
Morocco,68900,204650,89243,123837,86914,64250,,106439,137922,123757
Malaysia,154750,100786,141139,303467,230816,131081,,368186,172833,123034
