Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All products,16786417,14687477,11361004,12718142,11880471,10439795,,17848192,17962660,16394368
Live animals,9850,7539,9250,9532,10737,12518,,34444,26092,17706
Meat and edible meat offal,206233,155699,138001,157933,163052,92797,,126540,258194,210132
Fish and crustaceans  molluscs and other aquatic invertebrates,252555,240983,301002,245939,240440,206491,,366132,252488,189046
Dairy produce  birds' eggs  natural honey  edible products of animal origin  not elsewhere   ,94730,77474,68361,83869,75201,72212,,133408,115060,71590
Products of animal origin  not elsewhere specified or included,3942,3439,28476,16116,22890,52680,,306838,63890,123384
Live trees and other plants  bulbs  roots and the like  cut flowers and ornamental foliage,265,377,121,203,474,458,,1087,1157,928
Edible vegetables and certain roots and tubers,17159,16553,18196,15363,19337,17972,,13532,11624,9691
Edible fruit and nuts  peel of citrus fruit or melons,8245,8499,10052,10774,11494,8249,,32135,28025,44208
Coffee  tea  maté and spices,9828,7684,6085,6179,6252,4541,,10127,10212,8693
Cereals,1617639,838252,467023,716151,653819,522914,,580396,440785,304424
Products of the milling industry  malt  starches  inulin  wheat gluten,48111,42832,28762,70688,187545,151523,,315717,315795,311906
Oil seeds and oleaginous fruits  miscellaneous grains  seeds and fruit  industrial or medicinal   ,12176,7226,4343,4198,13544,3741,,57552,100015,189064
Lac  gums  resins and other vegetable saps and extracts,1103,953,1708,1213,1496,1360,,1488,2404,2607
Vegetable plaiting materials  vegetable products not elsewhere specified or included,80,166,6,39,18,13,,73,195,197
Animal  vegetable or microbial fats and oils and their cleavage products  prepared edible fats    ,272784,199332,154957,341717,286395,180343,,467159,289364,203674
Preparations of meat  of fish  of crustaceans  molluscs or other aquatic invertebrates  or   ,31965,34507,27203,37267,51615,30073,,61247,53333,36167
Sugars and sugar confectionery,397997,201308,129009,208127,203176,158390,,228548,187184,184445
Cocoa and cocoa preparations,4695,7219,2248,3239,2866,2421,,6392,4086,24645
Preparations of cereals  flour  starch or milk  pastrycooks' products,112343,94259,61418,101942,115889,83730,,120967,114600,72335
Preparations of vegetables  fruit  nuts or other parts of plants,122321,93172,81947,98207,73436,60386,,113079,75203,59370
Miscellaneous edible preparations,87967,70482,47179,84189,94298,85124,,135162,123995,99291
Beverages  spirits and vinegar,160040,112245,66526,114449,133100,113356,,230433,191019,156409
Residues and waste from the food industries  prepared animal fodder,63566,48783,57049,59612,88413,50956,,118434,105938,89548
Tobacco and manufactured tobacco substitutes  products  whether or not containing nicotine    ,18431,11937,505,9719,11254,12408,,15949,19028,13353
Salt  sulphur  earths and stone  plastering materials  lime and cement,882522,512718,463830,980176,384945,373825,,529976,557228,439485
Ores  slag and ash,773,1118,3296,20022,31015,8636,,25863,9376,9317
Mineral fuels  mineral oils and products of their distillation  bituminous substances  mineral   ,1230297,1700481,198674,301883,245693,299895,,2661919,4805924,5262253
Inorganic chemicals  organic or inorganic compounds of precious metals  of rare-earth metals    ,129361,125939,89370,118333,130198,131488,,160884,243593,250013
Organic chemicals,91465,86777,71826,115825,134151,102628,,141112,139481,124278
Pharmaceutical products,281203,384124,154964,272063,282742,226572,,333767,269352,273197
