Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All products,18915239353,16572806618,16079878326,17796858071,19666235318,19097074798,17725978906,22455262414,25406356836,23553539406
Live animals,24130278,21681886,20812910,22443202,23791233,23409959,23099682,24797912,25237959,26641619
Meat and edible meat offal,123662742,110323874,109958790,117957467,124304068,131617280,136102442,152429746,165826730,161240711
Fish and crustaceans molluscs and other aquatic invertebrates,109049548,98233423,105936498,114726167,124300088,125340778,113988650,135482879,149299309,140134012
Dairy produce birds' eggs natural honey edible products of animal origin not elsewhere  ,98696643,78407879,75049183,87703364,92364020,91925718,92469493,102923961,116371850,109980737
Products of animal origin not elsewhere specified or included,10182675,8627752,8205309,9369321,10612921,10601328,9518087,11279894,12235839,11965046
Live trees and other plants bulbs roots and the like cut flowers and ornamental foliage,19747023,17663370,18258993,19221119,20936318,20448485,20495112,25385118,23898187,23723542
Edible vegetables and certain roots and tubers,68871524,67466069,70871263,73964917,72115583,73620153,77204720,84122848,89059919,95164840
Edible fruit and nuts peel of citrus fruit or melons,112942423,113640252,117336384,126927931,134334279,136956796,141790518,158451481,154427096,155355655
Coffee tea mate and spices,47549008,48014308,47439573,51377746,49857439,49131513,51080362,57723801,70276500,64055710
Cereals,130697984,113871740,104801984,110550617,121466623,121086441,130151735,173149831,203565946,177675899
Products of the milling industry malt starches inulin wheat gluten,19760366,18534503,18920709,19718987,21126698,21210308,21072003,24397944,29511313,29097292
Oil seeds and oleaginous fruits miscellaneous grains seeds and fruit industrial or medicinal  ,109791605,95907243,94587743,104796581,109162447,104720653,115503433,147955436,167169488,159502449
Lac gums resins and other vegetable saps and extracts,7859825,6880368,6573711,7188138,8044862,8053521,8109159,9099228,10571944,9242442
Vegetable plaiting materials vegetable products not elsewhere specified or included,1156768,1145519,1187118,1226656,1263017,1415172,1525187,1889235,2147872,1906745
Animal vegetable or microbial fats and oils and their cleavage products prepared edible fats,99033703,89750455,89613806,101544029,98067953,93756962,106208902,153551620,185339945,154866016
Preparations of meat of fish of crustaceans molluscs or other aquatic invertebrates or  ,46882795,42037443,41408887,45268963,49094593,48073809,48475513,51819150,56596118,55723905
Sugars and sugar confectionery,48215454,41611130,46283881,50302296,44503255,42475841,46198500,53421378,63199749,70517201
Cocoa and cocoa preparations,49098757,46308260,48706420,48632290,49953491,50747850,50527210,56390070,55528074,62328932
Preparations of cereals flour starch or milk pastrycooks' products,65484923,63257310,65392410,70625280,76541480,79006150,81909295,88713063,98213965,105702305
