Product,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
All products,18856957626,16418063890,15924203652,17563586196,19329050174,18761814917,17514968797,22154054456,24719795601,23291072313
Live animals,24341925,21127637,21162843,22114239,23363810,23499486,22746554,24275008,23669173,25429848
Meat and edible meat offal,131361005,113877499,113230104,123864393,128267509,135482421,134735781,153566042,165039147,160742385
Fish and crustaceans  molluscs and other aquatic invertebrates,112473282,100633841,109746838,118642341,124786632,123697300,112157595,133667574,147492236,136978384
"Dairy produce; birds' eggs; natural honey; edible products of animal origin  not elsewhere ...,98135416,75997344,73070657,86331761,90137312,90059411,90626428,102676313,114086069,108164421"
Products of animal origin  not elsewhere specified or included,10766035,8907551,8555719,10145569,11358939,11100028,10041471,11507429,11902916,11580111
"Live trees and other plants; bulbs  roots and the like; cut flowers and ornamental foliage,22033720,18858681,19605266,20682372,22323683,22346831,22437584,27990538,25510847,25754265"
Edible vegetables and certain roots and tubers,67148017,66058989,70225162,72811845,72077491,73596776,76772436,83474885,85273128,93449425
"Edible fruit and nuts; peel of citrus fruit or melons,104985243,103646517,109606306,118315006,123844511,129218037,133897862,146185632,139235912,141878426"
Coffee  tea  maté and spices,49643129,48174449,48495791,52101131,49775049,49370982,52280592,59284971,68442016,63229786
Cereals,120432862,103893221,96425823,104093288,112044123,110605273,119311796,153652894,180429231,164121250
"Products of the milling industry; malt; starches; inulin; wheat gluten,19654977,18135169,17943422,18415336,20034495,20324672,20339531,23867813,28338879,28000269"
"Oil seeds and oleaginous fruits; miscellaneous grains  seeds and fruit; industrial or medicinal ...,100663715,87718670,89711949,98139424,100447020,96521785,109972730,130800946,152823630,149259527"
"Lac; gums  resins and other vegetable saps and extracts,8656340,6898089,6734092,7229344,8119839,8041739,7961958,9313774,11068935,9593373"
"Vegetable plaiting materials; vegetable products not elsewhere specified or included,928692,986610,957143,971386,1036209,1085835,1271672,1452457,1689983,1809572"
"Animal  vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...,97177163,86322485,87928139,99179126,93947987,88792739,102095738,150352512,176801561,147395552"
Preparations of meat  of fish  of crustaceans  molluscs or other aquatic invertebrates  or ...,49812792,44157346,44389538,48568096,53183733,51969731,53271142,58916716,62343929,61110032
Sugars and sugar confectionery,46995678,40720232,45520187,48561127,42136717,40097587,43224679,49317262,58716988,67146112
Cocoa and cocoa preparations,49385969,48172613,46829569,47570939,49619964,50289125,49925244,56174829,54959966,61306271
"Preparations of cereals  flour  starch or milk; pastrycooks' products,68491785,63730419,66186452,71434706,77557825,79373996,81508416,88658994,97395405,105296995"
Preparations of vegetables  fruit  nuts or other parts of plants,61709496,58388717,59026699,62089351,65583439,64568500,64367671,71594940,78488298,84026805
Miscellaneous edible preparations,66600172,62370238,65216378,69603187,77723070,79234920,83877989,95489990,99384073,104383472
Beverages  spirits and vinegar,112668860,104449426,106287275,115339279,124717211,124414743,119239061,140775055,148058631,149616475
"Residues and waste from the food industries; prepared animal fodder,82447453,71290005,68195028,70072010,79147024,76090319,80761885,100387415,108553060,109960501"
"Tobacco and manufactured tobacco substitutes; products  whether or not containing nicotine  ...,43266807,39839811,40512411,45517830,46045670,45877540,42256760,44130649,53044509,54990369"
"Salt; sulphur; earths and stone; plastering materials  lime and cement,46981210,42373396,38419521,42157446,47495000,45405765,41398829,52576109,65886504,69891445"
Ores  slag and ash,228336248,156377578,155128046,199186586,213402182,238162057,253975259,379947170,330369502,337681109
"Mineral fuels  mineral oils and products of their distillation; bituminous substances; mineral ...,3029551988,1802346056,1494395890,1949323284,2504268919,2054449207,1612219056,2554848276,4127822360,3173112562"
"Inorganic chemicals; organic or inorganic compounds of precious metals  of rare-earth metals  ...,119826493,110285856,98682074,116117304,142386093,126437305,118163452,161668038,230806498,198093994"
Organic chemicals,432312080,365405553,345916527,381088472,444718016,413030960,384607208,486626225,541217331,495905523
Pharmaceutical products,512966779,491241753,499912120,528612849,588955558,618489486,680636131,827918031,843765545,835664717
Fertilisers,64883765,62189024,49008865,51271847,58977957,59008888,55563086,84872059,134768026,92940766
"Tanning or dyeing extracts; tannins and their derivatives; dyes  pigments and other colouring ...,83104249,73436399,73412899,79533077,85524651,81857226,78885284,95212904,92725380,85790803"
"Essential oils and resinoids; perfumery  cosmetic or toilet preparations,116772046,111173455,116830237,130071060,146922483,151429996,144976019,167648886,170018449,176446867"
Soap  organic surface-active agents  washing preparations  lubricating preparations  artificial ...,60066136,53823922,54429004,59040780,63499597,63013832,66702613,75812770,78265782,76002773
"Albuminoidal substances; modified starches; glues; enzymes,29784456,26866708,26292523,28558688,30204534,30599575,32088120,39046929,43061739,41296366"
"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,6433308,4352169,3979946,4274566,4556463,4466795,3886062,4489146,5361455,5962137"
Photographic or cinematographic goods,16193420,14570526,14494599,14564200,15575869,15386052,13785205,15687879,15246292,14192829
Miscellaneous chemical products,192103389,170247777,172107607,189495537,211551578,209449342,225020876,283661489,329685899,282807000
Plastics and articles thereof,613631630,549324323,543697932,596550772,655675445,625406771,611203827,807768670,823296974,723987524
Rubber and articles thereof,192647941,166907574,162790022,185828803,192528430,185963554,176600360,226548320,220684502,216042548
Raw hides and skins (other than furskins) and leather,36431947,30069812,26271131,26042637,24014676,19477844,14405641,18849417,17943527,16220016
"Articles of leather; saddlery and harness; travel goods  handbags and similar containers; articles ...,76043026,74460899,72558734,77293875,83067826,87591529,71019911,89118044,101644832,104200270"
"Furskins and artificial fur; manufactures thereof,12563999,11108274,8179296,9136465,9321982,9327303,5648217,6253501,4353309,4103708"
"Wood and articles of wood; wood charcoal,138160612,123805506,126546126,135045562,147436765,133878441,133495389,184972488,183678575,148806612"
Cork and articles of cork,1822227,1597560,1656105,1814475,2134580,1963223,1896737,2264394,2220727,2233761
"Manufactures of straw  of esparto or of other plaiting materials; basketware and wickerwork,2442052,2356391,2252661,2287633,2500937,2684618,2814100,3728844,3435812,2942783"
"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,45498954,42980647,41689254,46591130,54445077,46580678,40535796,52227023,58310490,51269987"
"Paper and paperboard; articles of paper pulp  of paper or of paperboard,174076775,156576316,153851157,161708390,177200457,170202145,159499522,187302604,212479214,187450577"
"Printed books  newspapers  pictures and other products of the printing industry; manuscripts  ...,46050741,38215484,37175365,37061749,38666873,36978347,33775164,37992477,39372282,33930415"
Silk,2876609,2385251,2173254,2088178,2171679,1994949,1236437,1520113,1912082,1760645
"Wool  fine or coarse animal hair; horsehair yarn and woven fabric,14363293,13138748,12627184,13294102,14588484,12661415,8663597,11271031,11884217,11297438"
Cotton,63988486,56447374,52736790,56966390,60424715,56153977,47656599,62916738,63819147,51774066
"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn,4739885,4674779,4294104,4326876,4892236,5253628,4449989,5908196,6238947,6339040"
"Man-made filaments; strip and the like of man-made textile materials,50542018,46438740,44750409,47780572,51335717,51685927,41074679,54806360,59187218,53985473"
Man-made staple fibres,41420475,37875343,35321158,36258026,38130733,36149851,29347510,37125887,39270292,35220157
"Wadding  felt and nonwovens; special yarns; twine  cordage  ropes and cables and articles thereof,25411311,23990454,23667416,25284970,27416880,27327600,29766584,32693707,31594984,30073534"
Carpets and other textile floor coverings,16763080,15182867,15055988,15971970,16496382,15867249,15073709,18497781,17321553,16721229
"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery,13623982,12625683,12155917,12382136,12836927,12652070,10048572,12764803,13024951,12139392"
"Impregnated  coated  covered or laminated textile fabrics; textile articles of a kind suitable ...,26232876,23880822,23767479,25324062,26808856,25750478,22630815,28318112,29249320,27644174"
Knitted or crocheted fabrics,34047818,33322953,32643090,35171173,36997164,36470667,31705005,42818515,42929315,37284730
Articles of apparel and clothing accessories  knitted or crocheted,237805919,218524244,215602493,223464548,238745612,238627303,213054739,273372130,297289063,267403500
Articles of apparel and clothing accessories  not knitted or crocheted,232334312,217985991,215729722,224341362,235473399,234082867,206333421,234052194,259095453,248134642
"Other made-up textile articles; sets; worn clothing and worn textile articles; rags,66483688,61099600,60500173,63421860,66831168,66830734,122949132,91508811,85204873,76707757"
"Footwear  gaiters and the like; parts of such articles,141387364,133115671,130498498,138940511,145490582,148767599,127693901,153630780,180164406,176327319"
Headgear and parts thereof,9064377,8838312,9043944,9345474,10135033,10434283,9737408,12827623,15518551,14736677
Umbrellas  sun umbrellas  walking sticks  seat-sticks  whips  riding-crops and parts thereof,4006265,3854379,3522635,3415150,3593003,3719477,3167039,4027421,4646668,4236228
"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ...,8613617,8831640,7330559,8154487,9333380,10773913,10744518,16011325,15410728,13411895"
Articles of stone  plaster  cement  asbestos  mica or similar materials,52396606,50393894,49383624,51636272,55611213,54015246,52549100,62885153,65132434,61149055
Ceramic products,56214309,57263233,50656288,53280379,58600708,60053968,58761210,72514746,76122862,66732746
Glass and glassware,73960166,68074880,69080155,72044323,77662158,76772426,73881090,89786846,93403567,90993088
Natural or cultured pearls  precious or semi-precious stones  precious metals  metals clad ...,708802060,635284931,655281250,656807071,646786001,650448321,715428804,848885629,914019594,867524173
Iron and steel,411976403,326721471,301810813,372828496,422595120,372296701,328694920,559750709,571483256,477977891
Articles of iron or steel,317694479,280736267,260272727,283872023,314907109,308559918,285812690,362721344,399201961,380563102
Copper and articles thereof,153585232,130176475,117907537,145646238,161994601,146655435,149608361,220104197,218684718,206648200
Nickel and articles thereof,30870525,25211175,19334606,19628146,26211179,26816385,23701677,29890199,44305628,42240363
